,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
202,-7,-177.5,1.0,0.0,"(-7.5, -6.5, -178.125, -176.875)",0.0,1.0,0.0
203,-6,-177.5,1.0,0.0,"(-6.5, -5.5, -178.125, -176.875)",0.0,1.0,0.0
204,-5,-177.5,1.0,0.0,"(-5.5, -4.5, -178.125, -176.875)",0.0,1.0,0.0
205,-4,-177.5,1.0,0.0,"(-4.5, -3.5, -178.125, -176.875)",0.0,1.0,0.0
206,-3,-177.5,1.0,0.0,"(-3.5, -2.5, -178.125, -176.875)",0.0,1.0,0.0
207,-2,-177.5,1.0,0.0,"(-2.5, -1.5, -178.125, -176.875)",0.0,1.0,0.0
208,-1,-177.5,1.0,0.0,"(-1.5, -0.5, -178.125, -176.875)",0.0,1.0,0.0
209,0,-177.5,1.0,0.0,"(-0.5, 0.5, -178.125, -176.875)",0.0,1.0,0.0
210,1,-177.5,1.0,0.0,"(0.5, 1.5, -178.125, -176.875)",0.0,1.0,0.0
211,2,-177.5,1.0,0.0,"(1.5, 2.5, -178.125, -176.875)",0.0,1.0,0.0
212,3,-177.5,1.0,0.0,"(2.5, 3.5, -178.125, -176.875)",0.0,1.0,0.0
213,4,-177.5,1.0,0.0,"(3.5, 4.5, -178.125, -176.875)",0.0,1.0,0.0
214,5,-177.5,1.0,0.0,"(4.5, 5.5, -178.125, -176.875)",0.0,1.0,0.0
215,6,-177.5,1.0,0.0,"(5.5, 6.5, -178.125, -176.875)",0.0,1.0,0.0
216,7,-177.5,1.0,0.0,"(6.5, 7.5, -178.125, -176.875)",0.0,1.0,0.0
217,8,-177.5,1.0,0.0,"(7.5, 8.5, -178.125, -176.875)",0.0,1.0,0.0
218,9,-177.5,1.0,0.0,"(8.5, 9.5, -178.125, -176.875)",0.0,1.0,0.0
219,10,-177.5,1.0,0.0,"(9.5, 10.5, -178.125, -176.875)",0.0,1.0,0.0
220,11,-177.5,1.0,0.0,"(10.5, 11.5, -178.125, -176.875)",0.0,1.0,0.0
221,12,-177.5,1.0,0.0,"(11.5, 12.5, -178.125, -176.875)",0.0,1.0,0.0
222,13,-177.5,1.0,0.0,"(12.5, 13.5, -178.125, -176.875)",0.0,1.0,0.0
223,14,-177.5,1.0,0.0,"(13.5, 14.5, -178.125, -176.875)",0.0,1.0,0.0
224,15,-177.5,1.0,0.0,"(14.5, 15.5, -178.125, -176.875)",0.0,1.0,0.0
225,16,-177.5,1.0,0.0,"(15.5, 16.5, -178.125, -176.875)",0.0,1.0,0.0
226,17,-177.5,1.0,0.0,"(16.5, 17.5, -178.125, -176.875)",0.0,1.0,0.0
227,18,-177.5,1.0,0.0,"(17.5, 18.5, -178.125, -176.875)",0.0,1.0,0.0
228,19,-177.5,1.0,0.0,"(18.5, 19.5, -178.125, -176.875)",0.0,1.0,0.0
229,20,-177.5,1.0,0.0,"(19.5, 20.5, -178.125, -176.875)",0.0,1.0,0.0
230,21,-177.5,1.0,0.0,"(20.5, 21.5, -178.125, -176.875)",0.0,1.0,0.0
231,22,-177.5,1.0,0.0,"(21.5, 22.5, -178.125, -176.875)",0.0,1.0,0.0
232,23,-177.5,1.0,0.0,"(22.5, 23.5, -178.125, -176.875)",0.0,1.0,0.0
233,24,-177.5,1.0,0.0,"(23.5, 24.5, -178.125, -176.875)",0.0,1.0,0.0
234,25,-177.5,1.0,0.0,"(24.5, 25.5, -178.125, -176.875)",0.0,1.0,0.0
235,26,-177.5,1.0,0.0,"(25.5, 26.5, -178.125, -176.875)",0.0,1.0,0.0
236,27,-177.5,1.0,0.0,"(26.5, 27.5, -178.125, -176.875)",0.0,1.0,0.0
