lat,lng,pvalue,inside,group,rect,drywet
31,-178.75,0.0010638848988653343448,false,,[object Object],
32,-178.75,0.0014335524891307890871,false,,[object Object],
33,-178.75,0.0012129204391787674986,false,,[object Object],
34,-178.75,0.00031504532023284763462,false,,[object Object],
35,-178.75,0.0027319500086160062625,false,,[object Object],
36,-178.75,0.027812935946290338191,false,,[object Object],
37,-178.75,0.0078819418455174164451,false,,[object Object],
38,-178.75,0.0013737777887082489557,false,,[object Object],
39,-178.75,0.0095254975044246365662,false,,[object Object],
40,-178.75,0.038387059781494883848,false,,[object Object],
41,-178.75,0.11200897728310495183,false,,[object Object],
42,-178.75,0.2727020058795541213,false,,[object Object],
43,-178.75,0.19749130450927646074,false,,[object Object],
44,-178.75,0.062414197008659737242,false,,[object Object],
45,-178.75,0.043228588247741617234,false,,[object Object],
46,-178.75,0.00086065293446078430448,false,,[object Object],
47,-178.75,8.7990757194860146637e-05,false,,[object Object],
48,-178.75,0.0080510694263508826574,false,,[object Object],
49,-178.75,0.1921410525060456842,false,,[object Object],
50,-178.75,0.17273873374015832893,false,,[object Object],
51,-178.75,0.44916161256183817496,false,,[object Object],
52,-178.75,0.35101399879495154277,false,,[object Object],
53,-178.75,0.072221727221727857748,false,,[object Object],
54,-178.75,0.14188650278836356655,false,,[object Object],
55,-178.75,0.30213166893811060909,false,,[object Object],
56,-178.75,0.14918620348136218956,false,,[object Object],
57,-178.75,0.11949698086838328459,false,,[object Object],
58,-178.75,0.24883450904832116191,false,,[object Object],
59,-178.75,0.65865620521822820788,false,,[object Object],
60,-178.75,0.44242422243912221669,false,,[object Object],
61,-178.75,0.12531841296047460665,false,,[object Object],
62,-178.75,0.0030353053959807185617,false,,[object Object],
63,-178.75,0.052069886943824958414,false,,[object Object],
64,-178.75,0.10249153980647503215,false,,[object Object],
65,-178.75,0.0022378307206639166775,false,,[object Object],
66,-178.75,0.0047524627925168332412,false,,[object Object],
67,-178.75,0.19067122817860118755,false,,[object Object],
68,-178.75,0.14035885119512281349,false,,[object Object],
69,-178.75,0.0074487938191426508391,false,,[object Object],
70,-178.75,0.00095945038703544680697,false,,[object Object],
-69,-177.5,0.0082085186053395490374,false,,[object Object],
-68,-177.5,0.00031655332945125194037,false,,[object Object],
