,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
148,20,-70,0.6325,0.6325,"(15.0, 25.0, -75.0, -65.0)",-0.1989394701521445,1.0,0.0
149,30,-70,0.0,0.0,"(25.0, 35.0, -75.0, -65.0)",-inf,0.0,24.0
150,40,-70,0.9009,0.9009,"(35.0, 45.0, -75.0, -65.0)",-0.04532341308135647,1.0,0.0
151,50,-70,0.0413999999999999,0.0413999999999999,"(45.0, 55.0, -75.0, -65.0)",-1.382999658879102,1.0,0.0
152,60,-70,0.6733999999999999,0.6733999999999999,"(55.0, 65.0, -75.0, -65.0)",-0.17172688794793028,1.0,0.0
153,70,-70,0.5456999999999999,0.5456999999999999,"(65.0, 75.0, -75.0, -65.0)",-0.2630460462168541,1.0,0.0
154,-60,-60,0.0548,0.0548,"(-65.0, -55.0, -65.0, -55.0)",-1.2612194415156308,1.0,0.0
155,-50,-60,0.0952999999999999,0.0952999999999999,"(-55.0, -45.0, -65.0, -55.0)",-1.020907099361674,1.0,0.0
156,-40,-60,0.0001,0.0001,"(-45.0, -35.0, -65.0, -55.0)",-4.0,0.0001,24.0
157,-30,-60,0.0,0.0,"(-35.0, -25.0, -65.0, -55.0)",-inf,0.0,24.0
158,-20,-60,0.3946,0.3946,"(-25.0, -15.0, -65.0, -55.0)",-0.40384291908382763,1.0,0.0
159,-10,-60,0.0073,0.0073,"(-15.0, -5.0, -65.0, -55.0)",-2.136677139879544,1.0,11.0
160,0,-60,0.0,0.0,"(-5.0, 5.0, -65.0, -55.0)",-inf,0.0,24.0
161,10,-60,0.0,0.0,"(5.0, 15.0, -65.0, -55.0)",-inf,0.0,24.0
162,20,-60,0.3709999999999999,0.3709999999999999,"(15.0, 25.0, -65.0, -55.0)",-0.43062609038495425,1.0,0.0
163,30,-60,0.0004,0.0004,"(25.0, 35.0, -65.0, -55.0)",-3.3979400086720375,0.0004,24.0
164,40,-60,0.4929,0.4929,"(35.0, 45.0, -65.0, -55.0)",-0.3072411818452758,1.0,0.0
165,50,-60,0.0167999999999999,0.0167999999999999,"(45.0, 55.0, -65.0, -55.0)",-1.7746907182741398,1.0,0.0
166,60,-60,0.4400999999999999,0.4400999999999999,"(55.0, 65.0, -65.0, -55.0)",-0.356448631437055,1.0,0.0
167,70,-60,0.6916999999999999,0.6916999999999999,"(65.0, 75.0, -65.0, -55.0)",-0.16008222432131908,1.0,0.0
168,-60,-50,0.9348,0.9348,"(-65.0, -55.0, -55.0, -45.0)",-0.029281296279810735,1.0,0.0
169,-50,-50,0.0095999999999999,0.0095999999999999,"(-55.0, -45.0, -55.0, -45.0)",-2.017728766960436,1.0,4.0
170,-40,-50,0.0061,0.0061,"(-45.0, -35.0, -55.0, -45.0)",-2.214670164989233,1.0,3.0
171,-30,-50,0.0037,0.0037,"(-35.0, -25.0, -55.0, -45.0)",-2.431798275933005,0.0037,23.0
172,-20,-50,0.2048,0.2048,"(-25.0, -15.0, -55.0, -45.0)",-0.6886700476962069,1.0,0.0
173,-10,-50,0.0002999999999999,0.0002999999999999,"(-15.0, -5.0, -55.0, -45.0)",-3.522878745280482,0.0002999999999999,24.0
174,0,-50,0.0,0.0,"(-5.0, 5.0, -55.0, -45.0)",-inf,0.0,24.0
175,10,-50,0.0004,0.0004,"(5.0, 15.0, -55.0, -45.0)",-3.3979400086720375,0.0004,24.0
176,20,-50,0.6063,0.6063,"(15.0, 25.0, -55.0, -45.0)",-0.2173124317650336,1.0,0.0
177,30,-50,0.0129,0.0129,"(25.0, 35.0, -55.0, -45.0)",-1.889410289700751,1.0,0.0
178,40,-50,0.0352,0.0352,"(35.0, 45.0, -55.0, -45.0)",-1.453457336521869,1.0,0.0
179,50,-50,0.0228,0.0228,"(45.0, 55.0, -55.0, -45.0)",-1.6420651529995463,1.0,0.0
180,60,-50,0.0456999999999999,0.0456999999999999,"(55.0, 65.0, -55.0, -45.0)",-1.3400837999301507,1.0,0.0
181,70,-50,0.5856999999999999,0.5856999999999999,"(65.0, 75.0, -55.0, -45.0)",-0.23232477597204004,1.0,0.0
182,-60,-40,0.9234,0.9234,"(-65.0, -55.0, -45.0, -35.0)",-0.03461012978487765,1.0,0.0
183,-50,-40,0.1736,0.1736,"(-55.0, -45.0, -45.0, -35.0)",-0.7604502791595269,1.0,0.0
184,-40,-40,0.033,0.033,"(-45.0, -35.0, -45.0, -35.0)",-1.4814860601221125,1.0,0.0
185,-30,-40,0.0621,0.0621,"(-35.0, -25.0, -45.0, -35.0)",-1.2069083998234198,1.0,0.0
186,-20,-40,0.6458,0.6458,"(-25.0, -15.0, -45.0, -35.0)",-0.18990195931885714,1.0,0.0
187,-10,-40,0.002,0.002,"(-15.0, -5.0, -45.0, -35.0)",-2.6989700043360187,0.002,24.0
188,0,-40,0.0,0.0,"(-5.0, 5.0, -45.0, -35.0)",-inf,0.0,24.0
189,10,-40,0.0043,0.0043,"(5.0, 15.0, -45.0, -35.0)",-2.3665315444204134,0.0043,18.0
190,20,-40,0.6083,0.6083,"(15.0, 25.0, -45.0, -35.0)",-0.21588218353707672,1.0,0.0
191,30,-40,0.0298999999999999,0.0298999999999999,"(25.0, 35.0, -45.0, -35.0)",-1.5243288116755718,1.0,0.0
192,40,-40,0.0177,0.0177,"(35.0, 45.0, -45.0, -35.0)",-1.7520267336381934,1.0,0.0
193,50,-40,0.8175,0.8175,"(45.0, 55.0, -45.0, -35.0)",-0.08751223866767631,1.0,0.0
194,60,-40,0.2278999999999999,0.2278999999999999,"(55.0, 65.0, -45.0, -35.0)",-0.6422556748196246,1.0,0.0
195,70,-40,0.8251,0.8251,"(65.0, 75.0, -45.0, -35.0)",-0.08349341288484435,1.0,0.0
196,-60,-30,0.9826,0.9826,"(-65.0, -55.0, -35.0, -25.0)",-0.007623240201197006,1.0,0.0
197,-50,-30,0.0691999999999999,0.0691999999999999,"(-55.0, -45.0, -35.0, -25.0)",-1.159893905543243,1.0,0.0
198,-40,-30,0.0985999999999999,0.0985999999999999,"(-45.0, -35.0, -35.0, -25.0)",-1.0061230850587892,1.0,0.0
199,-30,-30,0.4320999999999999,0.4320999999999999,"(-35.0, -25.0, -35.0, -25.0)",-0.36441573368877,1.0,0.0
200,-20,-30,0.8083,0.8083,"(-25.0, -15.0, -35.0, -25.0)",-0.09242742120144903,1.0,0.0
201,-10,-30,0.0621999999999999,0.0621999999999999,"(-15.0, -5.0, -35.0, -25.0)",-1.206209615309182,1.0,0.0
202,0,-30,0.0005999999999999,0.0005999999999999,"(-5.0, 5.0, -35.0, -25.0)",-3.221848749616429,0.0005999999999999,24.0
203,10,-30,0.0446999999999999,0.0446999999999999,"(5.0, 15.0, -35.0, -25.0)",-1.3496924768680645,1.0,0.0
204,20,-30,0.3069999999999999,0.3069999999999999,"(15.0, 25.0, -35.0, -25.0)",-0.5128616245228137,1.0,0.0
205,30,-30,0.0461999999999999,0.0461999999999999,"(25.0, 35.0, -35.0, -25.0)",-1.3353580244438754,1.0,0.0
206,40,-30,0.1171999999999999,0.1171999999999999,"(35.0, 45.0, -35.0, -25.0)",-0.9310723883179285,1.0,0.0
207,50,-30,0.6328,0.6328,"(45.0, 55.0, -35.0, -25.0)",-0.1987335295103798,1.0,0.0
208,60,-30,0.8789,0.8789,"(55.0, 65.0, -35.0, -25.0)",-0.056060535527783555,1.0,0.0
209,70,-30,0.7741999999999999,0.7741999999999999,"(65.0, 75.0, -35.0, -25.0)",-0.11114683301706378,1.0,0.0
210,-60,-20,0.9471,0.9471,"(-65.0, -55.0, -25.0, -15.0)",-0.02360416338812017,1.0,0.0
211,-50,-20,0.0172,0.0172,"(-55.0, -45.0, -25.0, -15.0)",-1.764471553092451,1.0,0.0
